Time,flow_rate,% lignin removed,O3 Supplied,L-unreacted
0,1,27.45,0,66.35
1,1,57.84753,0.613333,47
10,1,62.33183857,6.133333333,42.3
10,1,61.43497758,6.133333333,42.3
10,1,62.78026906,6.133333333,42.3
30,1,70.40358744,18.4,34
30,1,69.95515695,18.4,34
30,1,69.95515695,18.4,34
60,1,77.57847534,36.8,25
60,1,77.57847534,36.8,25
60,1,78.92376682,36.8,25
90,1,85.65022422,55.2,16.25
90,1,85.65022422,55.2,16.25
90,1,85.42600897,55.2,16.25
120,1,88.78923767,73.6,11.15
120,1,90,73.6,11.15
120,1,90,73.6,11.15
0,2,27.45,0,66.35
1,2,57.84753363,1.3,47
10,2,64.45368027,13,39.64
10,2,63.22869955,13,39.64
10,2,64.12556054,13,39.64
30,2,70.85201794,39,31.51
30,2,72.19730942,39,31.51
30,2,71.74523318,39,31.51
60,2,82.95964126,78,18.5
60,2,83.40807175,78,18.5
60,2,83.40807175,78,18.5
90,2,86.5470852,117,14.5
90,2,86.9955157,117,14.5
90,2,86.5470852,117,14.5
120,2,90.13452915,156,11
120,2,89.23766816,156,11
120,2,91.92825112,156,11
0,4,27.45,0,66.35
1,4,58.74439462,3.106666667,46
10,4,69.50672646,31.06666667,34
10,4,70.40358744,31.06666667,34
10,4,69.05829596,31.06666667,34
30,4,75.91928251,93.2,27
30,4,75.78475336,93.2,27
30,4,75.78475336,93.2,27
60,4,88.34080717,186.4,13.5
60,4,87.89237668,186.4,13.5
60,4,87.89237668,186.4,13.5
90,4,91.92825112,279.6,10.5
90,4,89.68609865,279.6,10.5
90,4,91.03139013,279.6,10.5
120,4,87.89237668,372.8,11
120,4,91.92825112,372.8,11
120,4,90.13452915,372.8,11
